SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead,Total
3408,SH000492,17.12.2019,23:30:00,120.4,12.4,242.4,0.0,375.20000000000005
3409,SH000492,18.12.2019,00:00:00,120.0,12.8,241.6,0.0,374.4
3410,SH000492,18.12.2019,00:30:00,118.8,12.8,239.2,0.0,370.79999999999995
3411,SH000492,18.12.2019,01:00:00,116.4,13.2,234.4,0.0,364.0
3412,SH000492,18.12.2019,01:30:00,115.2,13.2,232.0,0.0,360.4
3413,SH000492,18.12.2019,02:00:00,115.6,14.0,232.8,0.0,362.4
3414,SH000492,18.12.2019,02:30:00,114.0,14.0,229.6,0.0,357.6
3415,SH000492,18.12.2019,03:00:00,112.0,13.6,225.6,0.0,351.2
3416,SH000492,18.12.2019,03:30:00,116.0,14.8,234.4,0.0,365.20000000000005
3417,SH000492,18.12.2019,04:00:00,110.0,13.6,221.6,0.0,345.2
3418,SH000492,18.12.2019,04:30:00,110.0,12.8,221.6,0.0,344.4
3419,SH000492,18.12.2019,05:00:00,110.8,12.4,223.2,0.0,346.4
3420,SH000492,18.12.2019,05:30:00,110.0,10.8,221.6,0.0,342.4
3421,SH000492,18.12.2019,06:00:00,112.0,10.0,224.8,0.0,346.8
3422,SH000492,18.12.2019,06:30:00,114.8,10.4,230.4,0.0,355.6
3423,SH000492,18.12.2019,07:00:00,114.8,10.4,231.2,0.0,356.4
3424,SH000492,18.12.2019,07:30:00,112.8,9.2,226.4,0.0,348.4
3425,SH000492,18.12.2019,08:00:00,116.8,10.8,234.4,0.0,362.0
3426,SH000492,18.12.2019,08:30:00,116.4,11.2,234.4,0.0,362.0
3427,SH000492,18.12.2019,09:00:00,117.2,11.6,236.0,0.0,364.8
3428,SH000492,18.12.2019,09:30:00,119.2,12.0,240.0,0.0,371.2
3429,SH000492,18.12.2019,10:00:00,124.4,13.6,250.4,0.0,388.4
3430,SH000492,18.12.2019,10:30:00,126.4,13.6,254.4,0.0,394.4
3431,SH000492,18.12.2019,11:00:00,128.0,14.0,257.6,0.0,399.6
3432,SH000492,18.12.2019,11:30:00,130.4,44.8,277.6,0.0,452.8
3433,SH000492,18.12.2019,12:00:00,130.8,52.8,282.4,0.0,466.0
3434,SH000492,18.12.2019,12:30:00,134.4,64.0,298.4,0.0,496.79999999999995
3435,SH000492,18.12.2019,13:00:00,146.4,78.8,333.6,0.0,558.8
3436,SH000492,18.12.2019,13:30:00,133.6,34.8,279.2,0.0,447.59999999999997
3437,SH000492,18.12.2019,14:00:00,145.6,35.6,300.0,0.0,481.2
3438,SH000492,18.12.2019,14:30:00,129.2,22.8,263.2,0.0,415.2
3439,SH000492,18.12.2019,15:00:00,135.2,24.4,275.2,0.0,434.79999999999995
3440,SH000492,18.12.2019,15:30:00,134.0,27.2,275.2,0.0,436.4
3441,SH000492,18.12.2019,16:00:00,143.6,31.2,295.2,0.0,470.0
3442,SH000492,18.12.2019,16:30:00,128.8,24.4,262.4,0.0,415.6
3443,SH000492,18.12.2019,17:00:00,149.6,28.8,306.4,0.0,484.79999999999995
3444,SH000492,18.12.2019,17:30:00,138.0,26.4,281.6,0.0,446.0
3445,SH000492,18.12.2019,18:00:00,132.8,24.4,271.2,0.0,428.4
3446,SH000492,18.12.2019,18:30:00,140.4,32.8,289.6,0.0,462.8
3447,SH000492,18.12.2019,19:00:00,120.0,19.2,244.0,0.0,383.2
3448,SH000492,18.12.2019,19:30:00,144.4,29.2,295.2,0.0,468.79999999999995
3449,SH000492,18.12.2019,20:00:00,126.8,24.0,259.2,0.0,410.0
3450,SH000492,18.12.2019,20:30:00,137.6,24.4,280.8,0.0,442.8
3451,SH000492,18.12.2019,21:00:00,126.0,21.2,256.0,0.0,403.2
3452,SH000492,18.12.2019,21:30:00,134.4,24.0,273.6,0.0,432.0
3453,SH000492,18.12.2019,22:00:00,128.0,27.6,263.2,0.0,418.79999999999995
3454,SH000492,18.12.2019,22:30:00,133.6,23.2,272.0,0.0,428.79999999999995
3455,SH000492,18.12.2019,23:00:00,123.6,23.6,252.8,0.0,400.0
3456,SH000492,18.12.2019,23:30:00,132.0,24.8,270.4,0.0,427.2
